"","ME1","ME8","ME7","ME5","ME6","ME9","ME3","ME4","ME0"
"06-0308",0.0378436956878856,-0.155855496265549,0.0368017805974514,0.0615256591141541,0.00279470686360188,-0.314430539651682,-0.178432793749474,-0.0315711493726873,0.0880424209017826
"06-0615",0.191356080129417,-0.295167635142366,-0.0728778018695116,-0.171310114603528,-0.119101590752471,-0.163927709413384,0.029520083245231,-0.0860898240847274,0.14496346486005
"06-1426",-0.358726387996576,0.0137510647339538,-0.136366088121694,0.234577401260852,0.0729154218446438,0.0515311776590061,0.485367378500714,0.552584627261414,0.231488077652046
"06-1516",0.213747248440328,0.0488098748745947,-0.278611127799338,-0.222168351045155,-0.177280123623695,-0.0922004921307114,-0.0173162789613136,-0.127752519134844,0.115460947862025
"07-0226",-0.066234709806406,0.0524763792004393,0.143254360385854,0.228007568290573,0.152551142059662,-0.000673531112439262,-0.0741645463858195,0.144183710828301,0.204052517928893
"07-0664",0.0195277007528513,0.0126101840284655,-0.134955514653187,-0.15816585995665,-0.190711423157961,-0.124039253702139,0.225042524483988,0.0788659261529558,0.0710536744037239
"07-0997",-0.220399175109429,0.0682973125188718,-0.00503930147746484,0.181658819247352,0.0581580331021288,0.216285484175164,-0.266950751263316,-0.169878937497443,-0.510171376727034
"07-1058",1.06812859734572e-16,7.28618700033877e-16,2.98970284310095e-16,4.38944225849322e-16,-4.06394549631352e-16,-6.43308190192896e-17,2.14428891991598e-16,-8.68523761312918e-17,3.52582546492286e-16
"07-1112",0.0080334391643049,-0.111533082768615,0.125313173752461,-0.0957906209094795,-0.0183767086412288,0.0578649614447051,0.273263513000286,0.143440492130231,0.170346536194415
"07-1144",0.0203520397587355,0.0179596145579461,-0.0652366611063377,-0.185213126477077,-0.0823899030028065,-0.0620479093579479,0.0393355994516884,-0.12437066945607,-0.185687509715608
"07-1287",-0.152596213233426,-0.0285263447154806,0.214749688714872,-0.00605826020864876,0.0350640054010101,0.290953981570647,0.313545993909546,0.173928308391354,0.00409281739397617
"08-0298",1.0681288526818e-16,7.28618700037232e-16,2.98970279232506e-16,4.38944254927858e-16,-4.06394507583677e-16,-6.43308190451641e-17,2.14428907036343e-16,-8.68523021012223e-17,3.53304069670836e-16
"08-0712",0.22327180596784,-0.181495596214266,-0.160250961682145,-0.169726194411934,-0.143784135244986,-0.230169652968855,-0.0281375803371375,-0.117186311128545,0.152652986340504
